Codigo da Area,Residentes,Homens Residentes,Mulheres Residentes
090,2803,1358,1445
340,1653,833,820
410,4454,2222,2232
850,4568,2215,2353
851,3418,1706,1712
852,6689,3021,3668
853,7634,3679,3955
260,4303,2114,2189
261,2655,1315,1340
262,3039,1464,1575
263,2768,1376,1392
030,3350,1595,1755
031,1735,863,872
360,4478,2202,2276
361,2929,1423,1506
980,3160,1528,1632
981,3962,1983,1979
330,3014,1462,1552
331,2758,1356,1402
332,1793,805,988
333,4595,2251,2344
334,3397,1645,1752
335,3729,1870,1859
310,3407,1666,1741
311,3909,1824,2085
312,4403,2170,2233
420,3162,1557,1605
421,3348,1664,1684
422,3069,1543,1526
423,3220,1624,1596
290,3196,1605,1591
291,4372,2163,2209
220,2631,1295,1336
350,3489,1736,1753
130,2182,1039,1143
131,2067,1007,1060
132,2311,1123,1188
370,2030,1026,1004
371,2279,1136,1143
230,3510,1737,1773
160,5997,3015,2982
161,1964,958,1006
100,1613,811,802
101,2462,1176,1286
102,1957,933,1024
250,2782,1355,1427
251,2777,1351,1426
120,3683,1768,1915
121,4345,1958,2387
122,2784,1297,1487
040,3021,1509,1512
041,2895,1437,1458
042,2486,1164,1322
043,3003,1425,1578
044,2767,1380,1387
470,2465,1210,1255
471,2655,1287,1368
472,2545,1230,1315
390,7043,3470,3573
320,2588,1258,1330
321,2919,1435,1484
010,5343,2467,2876
190,5084,2442,2642
191,7935,3746,4189
192,4335,2153,2182
431,3642,1787,1855
432,4145,2013,2132
433,3725,1777,1948
434,4429,2153,2276
435,4445,2139,2306
436,3828,1852,1976
780,4102,2031,2071
781,5341,2624,2717
080,3633,1668,1965
081,3254,1446,1808
082,3240,1491,1749
083,3533,1632,1901
300,3918,1972,1946
301,2552,1260,1292
302,4021,1978,2043
460,784,402,382
170,6226,3022,3204
171,7002,3449,3553
600,4138,1862,2276
601,4021,1852,2169
602,5171,2361,2810
070,2704,1300,1404
071,3217,1555,1662
072,3788,1781,2007
950,11335,5166,6169
951,14704,6510,8194
952,7922,3359,4563
270,3839,1863,1976
271,4443,2199,2244
060,2849,1404,1445
061,4293,2029,2264
062,2742,1302,1440
450,3487,1756,1731
380,4631,2235,2396
381,4472,2142,2330
382,3226,1602,1624
383,2515,1264,1251
384,5019,2451,2568
280,4529,2207,2322
281,5049,2507,2542
200,1693,841,852
400,3185,1553,1632
401,3619,1797,1822
440,3141,1625,1516
441,2810,1394,1416
020,3657,1643,2014
021,3672,1699,1973
240,2735,1336,1399
241,3037,1483,1554
210,4593,2224,2369
690,5469,2619,2850
691,3176,1563,1613
692,3730,2164,1566
693,4330,2034,2296
570,3676,1681,1995
571,2308,1079,1229
572,3862,1854,2008
